,Unnamed: 0,空调光期温度设定,空调暗期温度设定,空调温度上限设定,空调温度下限设定,新风机手动开度,新风机手自动模式,空调自动模式,户外温度,户外湿度,1号室内温度,1号室内湿度,1号室内CO2浓度,2号室内温度,2号室内湿度,2号室内CO2浓度,1号PPFD,1号色温,1号PAR,1号红比,1号绿比,1号蓝比,2号PPFD,2号色温,2号PAR,2号红比,2号绿比,2号蓝比,3号PPFD,3号色温,3号PAR,3号红比,3号绿比,3号蓝比,1号风速,2号风速,营养液EC,营养液PH,营养液液温,空调手动开关机,空调开机指令下发,空调手动模式选择,空调风速选择,空调手动温度设定,空调手动操作指令下发,空调手自动切换,电磁阀手自动选择,电磁阀手动开阀,电磁阀手动关阀,time,平均温度,平均湿度,灯具负荷,自然负荷,新风负荷,总热渗入量
29321,29321,22.899999618530277,21.5,19.5,18.5,0.0,False,True,14.068286895751951,100.0,24.0,56.0,551.0,25.299999237060547,52.5,532.0,0.3618413805961609,7987.06005859375,0.0826952084898948,10.150784492492676,86.92276000976562,2.9264986515045166,0.492798775434494,7746.6484375,0.1125832051038742,10.707637786865234,86.15213012695312,3.1402218341827397,0.326246976852417,7759.650390625,0.0750769600272178,10.69179630279541,85.88204193115234,3.4261763095855717,1.100000023841858,1.0,0.0199999995529651,5.630000114440918,17.600000381469727,True,False,1,1,23.0,False,False,False,False,False,2023-04-30 20:21:00.151348,24.649999618530273,54.25,0.0,-7.545263802695276,-7.545263802695276,-15.090527605390552
29322,29322,22.899999618530277,21.5,19.5,18.5,100.0,False,True,13.96990966796875,100.0,24.0,56.09999847412109,552.0,25.0,52.79999923706055,532.0,0.3612275421619415,7994.29736328125,0.0825590938329696,10.145219802856444,86.93399047851562,2.920872926712036,0.4932259023189544,7748.6044921875,0.1126973330974578,10.71157932281494,86.1605224609375,3.1279056072235107,0.3257380425930023,7765.09326171875,0.0747003555297851,10.694831848144531,85.87092590332031,3.4342849254608154,1.100000023841858,1.0,0.0199999995529651,5.630000114440918,17.600000381469727,True,False,1,1,23.0,True,False,False,False,False,2023-04-30 20:22:01.584770,24.5,54.44999885559082,0.0,-7.508454586029053,-0.6825867805480956,-8.19104136657715
29323,29323,22.899999618530277,21.5,19.5,18.5,0.0,False,True,13.96990966796875,100.0,23.899999618530277,55.900001525878906,552.0,24.700000762939453,52.70000076293945,533.0,0.3619446158409118,7983.10400390625,0.0826809033751487,10.112360000610352,86.975341796875,2.912306785583496,0.4932552874088287,7751.955078125,0.1126991212368011,10.71802043914795,86.14312744140625,3.1388893127441406,0.3265249133110046,7761.560546875,0.0749077573418617,10.679980278015137,85.88924407958984,3.430805206298828,1.100000023841858,0.2000000029802322,0.0199999995529651,5.630000114440918,17.600000381469727,True,False,1,1,23.0,True,False,False,False,False,2023-04-30 20:23:02.813528,24.300000190734863,54.30000114440918,0.0,-7.36584522203207,-7.36584522203207,-14.73169044406414
29324,29324,22.899999618530277,21.5,19.5,18.5,0.0,False,True,13.96990966796875,100.0,23.799999237060547,55.59999847412109,552.0,24.200000762939453,53.29999923706055,533.0,0.3625509440898895,7988.82275390625,0.08285953104496,10.144525527954102,86.93485260009766,2.9206314086914062,0.493822306394577,7760.54296875,0.1128016263246536,10.674935340881348,86.1888656616211,3.1362533569335938,0.3257730901241302,7770.9287109375,0.0746945142745971,10.663044929504396,85.91175842285156,3.4252490997314453,1.100000023841858,0.8999999761581421,0.0199999995529651,5.630000114440918,17.600000381469727,True,False,3,2,23.0,True,False,False,False,False,2023-04-30 20:24:03.947341,24.0,54.44999885559082,0.0,-7.151930836029052,-7.151930836029052,-14.303861672058105
29325,29325,22.899999618530277,21.5,19.5,18.5,0.0,False,True,13.96990966796875,100.0,23.799999237060547,55.5,552.0,23.799999237060547,55.0,534.0,0.3637812733650207,7978.83642578125,0.0832237973809242,10.185850143432615,86.88752746582031,2.926698684692383,0.4930545687675476,7755.45458984375,0.1126463860273361,10.693541526794434,86.16667938232422,3.1397042274475098,0.3256635367870331,7780.05126953125,0.074690394103527,10.65644645690918,85.91462707519531,3.428957462310791,1.100000023841858,1.0,0.0199999995529651,5.630000114440918,17.600000381469727,True,False,3,2,23.0,False,False,False,False,False,2023-04-30 20:25:05.113740,23.799999237060547,55.25,0.0,-7.009320792016983,-7.009320792016983,-14.018641584033967
29326,29326,22.899999618530277,21.5,19.5,18.5,0.0,False,True,13.96990966796875,100.0,23.700000762939453,55.900001525878906,552.0,23.5,56.70000076293945,534.0,0.361746221780777,7978.83642578125,0.0826550722122192,10.098677635192873,86.97566223144531,2.9256861209869385,0.4932529330253601,7752.88427734375,0.1126822978258133,10.64564323425293,86.21920776367188,3.135160446166992,0.3250555694103241,7781.4091796875,0.0744845941662788,10.66798973083496,85.90035247802734,3.4317173957824707,1.100000023841858,1.0,0.0199999995529651,5.630000114440918,17.600000381469727,True,False,3,2,23.0,False,False,False,False,False,2023-04-30 20:26:06.249257,23.600000381469727,56.30000114440918,0.0,-6.866712108035087,-6.866712108035087,-13.733424216070174
29327,29327,22.899999618530277,21.5,19.5,18.5,0.0,False,True,13.96990966796875,100.0,23.600000381469727,56.400001525878906,552.0,23.399999618530277,57.20000076293945,534.0,0.3616206049919128,7978.83642578125,0.0826543718576431,10.13319492340088,86.95133209228516,2.9154515266418457,0.4934855997562408,7750.54443359375,0.1127398833632469,10.705076217651367,86.16117858886719,3.13378381729126,0.3253020942211151,7775.0595703125,0.0745694786310195,10.675451278686523,85.90254211425781,3.422070264816284,1.100000023841858,0.2000000029802322,0.0199999995529651,5.630000114440918,17.600000381469727,True,False,4,1,23.0,True,False,False,False,False,2023-04-30 20:27:07.378683,23.5,56.80000114440918,0.0,-6.795407086029052,-6.795407086029052,-13.590814172058105
29328,29328,22.899999618530277,21.5,19.5,18.5,0.0,False,True,13.87152862548828,100.0,23.5,56.70000076293945,552.0,23.299999237060547,57.20000076293945,533.0,0.3606133162975311,7976.8310546875,0.0823948755860328,10.117655754089355,86.9593734741211,2.922996997833252,0.493867963552475,7758.1513671875,0.1129117906093597,10.718186378479004,86.1355972290039,3.146270036697388,0.3254892826080322,7773.48095703125,0.0746635347604751,10.726710319519045,85.84675598144531,3.426569938659668,1.100000023841858,0.0,0.0199999995529651,5.630000114440918,17.600000381469727,True,False,4,1,23.0,True,False,False,False,False,2023-04-30 20:28:08.503660,23.399999618530273,56.95000076293945,0.0,-6.794252420411112,-6.794252420411112,-13.588504840822225
29329,29329,22.899999618530277,21.5,19.5,18.5,0.0,False,True,13.87152862548828,100.0,23.5,57.0,552.0,23.299999237060547,57.70000076293945,534.0,0.3601827025413513,7993.83837890625,0.0822781324386596,10.101513862609863,86.98008728027344,2.918431520462036,0.4932842850685119,7750.48046875,0.1127519607543945,10.65526294708252,86.20496368408203,3.1397464275360107,0.3248670697212219,7771.568359375,0.0745578184723854,10.635051727294922,85.93251037597656,3.4325027465820312,1.0,0.8999999761581421,0.0199999995529651,5.630000114440918,17.600000381469727,True,False,4,1,23.0,True,False,False,False,False,2023-04-30 20:29:09.553855,23.399999618530273,57.35000038146973,0.0,-6.794252420411112,-6.794252420411112,-13.588504840822225
29330,29330,22.899999618530277,21.5,19.5,18.5,0.0,False,True,13.96990966796875,100.0,23.5,57.29999923706055,553.0,23.799999237060547,56.59999847412109,534.0,0.3605757057666778,7995.2578125,0.0823256447911262,10.099942207336426,86.98035430908203,2.9196879863739014,0.4933814108371734,7752.744140625,0.1128337532281875,10.69019603729248,86.16690063476562,3.142872810363769,0.3250297904014587,7774.962890625,0.0744864493608474,10.687621116638184,85.90130615234375,3.411046028137207,1.0,0.0,0.0199999995529651,5.630000114440918,17.600000381469727,True,False,4,1,23.0,True,False,False,False,False,2023-04-30 20:30:10.647726,23.649999618530273,56.94999885559082,0.0,-6.902363939023017,-6.902363939023017,-13.804727878046034
